date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:23:55	114399/114399	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Mar%202023%2016:23:56%20GMT	https://blockstudio.tw/project/	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/project/index.html	(from https://blockstudio.tw/)
00:23:55	12126/12126	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2020%20Mar%202019%2003:40:31%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/index/plant/winterbourn.svg	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/index/plant/winterbourn.svg	(from https://blockstudio.tw/)
00:23:55	4410/4410	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2020%20Mar%202019%2003:40:31%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/index/plant/dragon-tree.svg	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/index/plant/dragon-tree.svg	(from https://blockstudio.tw/)
00:23:56	5039/5039	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2020%20Mar%202019%2003:40:31%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/index/plant/century-plant.svg	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/index/plant/century-plant.svg	(from https://blockstudio.tw/)
00:23:56	8841/8841	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2020%20Mar%202019%2003:40:31%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/index/plant/ceriman.svg	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/index/plant/ceriman.svg	(from https://blockstudio.tw/)
00:23:56	51446/51446	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Mar%202023%2016:23:57%20GMT	https://blockstudio.tw/contact/	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/contact/index.html	(from https://blockstudio.tw/)
00:23:56	25880/25880	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2020%20Mar%202019%2003:40:31%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/index/plant/butterfly-palm.svg	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/index/plant/butterfly-palm.svg	(from https://blockstudio.tw/)
00:23:56	645/645	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2020%20Mar%202019%2003:40:31%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/logo-visual-bg2.svg	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/logo-visual-bg2.svg	(from https://blockstudio.tw/)
00:23:57	518/518	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2020%20Mar%202019%2003:40:31%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/logo-visual-bg1.svg	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/logo-visual-bg1.svg	(from https://blockstudio.tw/)
00:23:57	3073/3073	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2020%20Mar%202019%2003:40:31%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/logo-visual-down.svg	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/logo-visual-down.svg	(from https://blockstudio.tw/)
00:23:57	52050/52050	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Mar%202023%2016:23:58%20GMT	https://blockstudio.tw/service/	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/service/index.html	(from https://blockstudio.tw/)
00:23:57	3260/3260	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2020%20Mar%202019%2003:40:31%20GMT	https://blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/logo-visual-top.svg	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/themes/twentyseventeen/img/logo-visual-top.svg	(from https://blockstudio.tw/)
00:23:57	140149/140149	---M--	200	added ('OK')	image/jpeg	date:Mon,%2020%20Sep%202021%2016:01:47%20GMT	https://blockstudio.tw/2018block/main/wp-content/uploads/2021/09/KBK-Cover-web.jpg	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/uploads/2021/09/KBK-Cover-web.jpg	(from https://blockstudio.tw/)
00:23:58	70361/70361	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Dec%202020%2007:56:42%20GMT	https://blockstudio.tw/2018block/main/wp-content/uploads/2020/12/RF_web_cover_offical.jpg	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/uploads/2020/12/RF_web_cover_offical.jpg	(from https://blockstudio.tw/)
00:23:58	146393/146393	---M--	200	added ('OK')	image/jpeg	date:Wed,%2022%20Apr%202020%2015:51:18%20GMT	https://blockstudio.tw/2018block/main/wp-content/uploads/2020/04/tdri_cover2.jpg	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/2018block/main/wp-content/uploads/2020/04/tdri_cover2.jpg	(from https://blockstudio.tw/)
00:23:58	116140/116140	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Mar%202023%2016:23:59%20GMT	https://blockstudio.tw/blog/	C:/My%20Web%20Sites/new%20for%20ting/tingweb/blockstudio.tw/blog/index.html	(from https://blockstudio.tw/)
